"Rk";"Player";"Pos";"Nation";"MP";"Tklw";"Blocks_stats_defense";"Int";"Clr"
1;"Max Aarons";"DF";"eng ENG";3;2;3;1;0
3;"Rodrigo Abajas";"DF";"es ESP";1;2;1;1;0
6;"Yunis Abdelhamid";"DF";"ma MAR";16;11;26;14;57
8;"Mohamed Abdelmoneim";"DF";"eg EGY";12;14;11;15;56
10;"Saud Abdulhamid";"DF";"sa KSA";4;2;2;2;0
11;"Abel";"DF";"es ESP";35;37;29;18;64
15;"Abner";"DF";"br BRA";19;20;15;5;41
17;"Abdel Abqar";"DF";"ma MAR";29;23;28;39;146
21;"Francesco Acerbi";"DF";"it ITA";23;19;22;26;81
22;"Joshua Acheampong";"DF";"eng ENG";4;1;1;1;2
28;"Tosin Adarabioyo";"DF";"eng ENG";22;13;9;11;80
